AgentID,C4,C5,experiment,in_degree,max_od
49,0.0,0.0,5,47,9
0,0.0,0.05,6,2,4
1,0.0,0.05,6,10,4
2,0.0,0.05,6,17,4
3,0.0,0.05,6,10,4
4,0.0,0.05,6,7,4
5,0.0,0.05,6,0,4
6,0.0,0.05,6,0,4
7,0.0,0.05,6,12,4
8,0.0,0.05,6,1,4
9,0.0,0.05,6,4,4
10,0.0,0.05,6,0,4
11,0.0,0.05,6,4,4
12,0.0,0.05,6,0,4
13,0.0,0.05,6,0,4
14,0.0,0.05,6,3,4
15,0.0,0.05,6,0,4
16,0.0,0.05,6,0,4
17,0.0,0.05,6,1,4
18,0.0,0.05,6,0,4
19,0.0,0.05,6,2,4
20,0.0,0.05,6,3,4
21,0.0,0.05,6,4,4
22,0.0,0.05,6,3,4
23,0.0,0.05,6,2,4
24,0.0,0.05,6,13,4
25,0.0,0.05,6,0,4
26,0.0,0.05,6,14,4
27,0.0,0.05,6,2,4
28,0.0,0.05,6,4,4
29,0.0,0.05,6,0,4
30,0.0,0.05,6,0,4
31,0.0,0.05,6,1,4
32,0.0,0.05,6,0,4
33,0.0,0.05,6,0,4
34,0.0,0.05,6,3,4
35,0.0,0.05,6,2,4
36,0.0,0.05,6,7,4
37,0.0,0.05,6,2,4
38,0.0,0.05,6,20,4
39,0.0,0.05,6,0,4
40,0.0,0.05,6,0,4
41,0.0,0.05,6,0,4
42,0.0,0.05,6,28,4
43,0.0,0.05,6,0,4
44,0.0,0.05,6,0,4
45,0.0,0.05,6,4,4
46,0.0,0.05,6,4,4
47,0.0,0.05,6,1,4
48,0.0,0.05,6,7,4
49,0.0,0.05,6,3,4
0,0.0,0.05,7,0,5
1,0.0,0.05,7,4,5
2,0.0,0.05,7,6,5
3,0.0,0.05,7,0,5
4,0.0,0.05,7,3,5
5,0.0,0.05,7,0,5
6,0.0,0.05,7,0,5
7,0.0,0.05,7,0,5
8,0.0,0.05,7,3,5
9,0.0,0.05,7,1,5
10,0.0,0.05,7,6,5
11,0.0,0.05,7,2,5
12,0.0,0.05,7,1,5
13,0.0,0.05,7,3,5
14,0.0,0.05,7,0,5
15,0.0,0.05,7,0,5
16,0.0,0.05,7,1,5
17,0.0,0.05,7,1,5
18,0.0,0.05,7,0,5
19,0.0,0.05,7,5,5
20,0.0,0.05,7,3,5
21,0.0,0.05,7,29,5
22,0.0,0.05,7,0,5
23,0.0,0.05,7,22,5
24,0.0,0.05,7,4,5
25,0.0,0.05,7,47,5
26,0.0,0.05,7,4,5
27,0.0,0.05,7,16,5
28,0.0,0.05,7,2,5
29,0.0,0.05,7,6,5
30,0.0,0.05,7,0,5
31,0.0,0.05,7,1,5
32,0.0,0.05,7,6,5
33,0.0,0.05,7,1,5
34,0.0,0.05,7,1,5
35,0.0,0.05,7,0,5
36,0.0,0.05,7,5,5
37,0.0,0.05,7,0,5
